frame,opencv_detected,opencv_delay_seconds,yolo_detected,yolo_delay_seconds,yolo_class
0,False,0.004559541000000333,False,0.06170033400000019,
1,True,0.004201542000000114,False,0.04287725000000009,
2,True,0.004169082999999851,False,0.05412266699999968,
3,True,0.004740208000000301,False,0.045536625,
4,True,0.004466499999999929,False,0.04579812499999969,
5,True,0.004213790999999745,False,0.045530417000000156,
6,True,0.0043137090000002765,False,0.04196554100000016,
7,True,0.00466070899999993,False,0.04167383399999958,
8,True,0.00490474999999968,False,0.03783225000000012,
9,True,0.004897666999999828,False,0.040411041999999675,
10,True,0.004862166000000556,False,0.03672483300000007,
11,True,0.004795458000000252,False,0.038268750000000296,
12,True,0.004948833000000263,False,0.04896383300000018,
13,True,0.004441124999999602,False,0.03974054100000046,
14,True,0.0046723330000002505,False,0.040330625000000175,
15,True,0.004656040999999611,False,0.04096933399999969,
16,True,0.0048356670000000435,False,0.04345316599999993,
17,True,0.0047060839999995,False,0.04251633300000002,
18,True,0.004979959000000811,False,0.0419694590000006,
19,True,0.004552750000000216,False,0.04416704100000057,
20,True,0.004963374999999992,False,0.046251499999999446,
21,True,0.004388375000000444,False,0.04224929100000008,
22,True,0.004639082999999822,False,0.05411312499999976,
23,True,0.004357415999999503,False,0.043991749999999996,
24,True,0.004505958000000199,False,0.044802958000000004,
25,True,0.004508291999999692,False,0.04252204199999987,
26,True,0.004779457999999792,False,0.04261916599999971,
27,True,0.004358958999999274,False,0.04299187499999935,
28,True,0.004573208000000051,False,0.04012254200000065,
29,True,0.004539417000000157,False,0.04125308299999997,
30,True,0.004748832999999841,False,0.04019141699999995,
31,True,0.004399208000000598,False,0.04545679099999944,
32,True,0.004703375000000065,False,0.04825799999999969,
33,True,0.004525125000000685,False,0.04145566600000006,
34,True,0.004484708999999754,False,0.043254584000000484,
35,True,0.004415750000000607,False,0.04269595800000037,
36,True,0.004690375000000024,False,0.04463583400000015,
37,True,0.004642459000000265,False,0.0447302090000008,
38,True,0.004604833000000141,False,0.04451508399999948,
39,True,0.00465662499999997,False,0.04412716700000008,
40,True,0.00462199999999946,False,0.04125712499999956,
41,True,0.004408499999999371,False,0.040778332999999556,
42,True,0.004740041999999889,False,0.04888491700000053,
43,True,0.004403624999999245,False,0.0431919590000005,
44,True,0.004546083000000145,False,0.04333262499999968,
45,True,0.004577834000000003,False,0.04145241700000035,
46,True,0.004686041000000252,False,0.04188750000000052,
47,True,0.0047257920000003395,False,0.03989045799999946,
48,True,0.0050490419999995595,False,0.041367375000000095,
49,True,0.004524084000001594,False,0.0424287500000009,
50,True,0.004459541999999317,False,0.04242108300000069,
51,True,0.004485000000000738,False,0.04334637500000049,
52,True,0.004325958000000796,False,0.0399951250000008,
53,True,0.004142374999998921,False,0.04143475000000052,
54,True,0.00451495799999968,False,0.046100167000000525,
55,True,0.004337416999998567,False,0.04360833299999989,
56,True,0.0044714999999992955,False,0.03931399999999918,
57,True,0.004859459000000399,False,0.0400836249999994,
58,True,0.00457233399999879,False,0.04287933400000021,
59,True,0.004660082999999204,False,0.0434018750000007,
60,True,0.004766332999999179,False,0.04346895800000006,
61,True,0.004244415999998807,False,0.042531874999999886,
62,True,0.004955500000001223,False,0.04525699999999944,
63,True,0.00427587500000115,False,0.04602941699999974,
64,True,0.004436667000000227,False,0.04302891700000089,
65,True,0.0046897920000006366,False,0.041056375000000145,
66,True,0.004624417000000491,False,0.04382587499999957,
67,True,0.004409875000000341,False,0.04464512500000062,
68,True,0.004586624999999955,False,0.04769495900000109,
